City_ID,City,Country,Max Temp,Weather Type,Lat,Lng,Hotel Name
3,Atuona,PF,77.34,light rain,-9.8,-139.0333,Villa Enata
6,Pacifica,US,81.82,haze,37.6138,-122.4869,"Pacifica Lighthouse, Trademark Collection by Wyndham"
7,Kalmunai,LK,81.55,overcast clouds,7.4167,81.8167,VS Villa
8,Hambantota,LK,82.18,overcast clouds,6.1241,81.1185,Bungalow 63
9,Hilo,US,83.28,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
13,Atar,MR,91.85,clear sky,20.5169,-13.0499,Oumou Elghoura
14,Dingle,PH,87.19,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
18,Hamilton,US,84.99,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
21,Georgetown,MY,84.13,few clouds,5.4112,100.3354,Cititel Penang
22,Ugoofaaru,MV,82.69,scattered clouds,5.6667,73.0,Ungoofaaru Inn
30,Rincon,US,80.85,broken clouds,32.296,-81.2354,Days Inn Rincon
36,Monrovia,LR,78.49,overcast clouds,6.3005,-10.7969,Sunset Inn
37,Nishihara,JP,78.85,mist,26.1842,127.7558,Minshuku Agaihama
38,Abu Dhabi,AE,91.51,clear sky,24.4667,54.3667,Beach Rotana
43,Qui Nhon,VN,86.7,overcast clouds,13.7667,109.2333,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
44,Baghdad,IQ,78.71,clear sky,33.3406,44.4009,Baghdad Hotel
46,Butaritari,KI,82.47,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
52,Linqiong,CN,84.02,light rain,30.4159,103.4609,Tianlun Tanxianglou Hotel
54,Waingapu,ID,84.38,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
56,Cabo San Lucas,MX,94.3,clear sky,22.8909,-109.9124,Vista Roof Restaurant
61,Kahului,US,84.22,few clouds,20.8947,-156.47,Maui Seaside Hotel
63,Hithadhoo,MV,82.67,overcast clouds,-0.6,73.0833,Scoop Guest House
73,Lorengau,PG,85.46,clear sky,-2.0226,147.2712,Lorengau Harbourside Hotel
78,Rancho Palos Verdes,US,75.99,clear sky,33.7445,-118.387,Terranea Resort
80,Kapaa,US,84.18,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
85,Vaini,TO,78.96,few clouds,-21.2,-175.2,Keleti Beach Resort
99,Cayenne,GF,82.09,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
106,Bandarbeyla,SO,79.54,clear sky,9.4942,50.8122,JABIR HOTEL
108,Alofi,NU,82.29,few clouds,-19.0595,-169.9187,Taloa Heights
116,Umm Lajj,SA,80.56,clear sky,25.0213,37.2685,Moon light Furnished Units
125,Bengkulu,ID,80.38,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
126,Victoria,HK,85.03,overcast clouds,22.2855,114.1577,Mini Central
129,Fairbanks,US,75.02,smoke,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
130,Abadan,IR,91.35,smoke,30.3392,48.3043,سالن مراسمات خانه معلم
131,Avera,US,77.38,broken clouds,33.194,-82.5271, 
133,Ayorou,NE,91.63,overcast clouds,14.7308,0.9174,Hotel Amenokal
145,Korla,CN,90.59,clear sky,41.7597,86.1469,Gulisitan Hotel
151,Rajshahi,BD,89.2,overcast clouds,24.3667,88.6,Anjum Hotel International
157,Chaman,PK,81.64,clear sky,30.9236,66.4512,Niamat parda Center chaman
165,Clovis,US,88.02,haze,36.8252,-119.7029,Fairfield Inn & Suites by Marriott Fresno Clovis
167,La Palma,US,81.93,clear sky,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
172,Kununurra,AU,82.38,clear sky,-15.7667,128.7333,Hotel Kununurra
181,Sinnamary,GF,77.74,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
184,Kudat,MY,85.93,few clouds,6.8837,116.8477,Dream Garden Hotel
194,Marzuq,YE,75.78,clear sky,14.4,46.4667, 
197,Dharmabad,IN,82.47,overcast clouds,18.9,77.85,Sudarshan Gangaram mangal karyalay Dharmabad
198,Avarua,CK,80.65,scattered clouds,-21.2078,-159.775,Paradise Inn
201,George Town,MY,84.13,scattered clouds,5.4112,100.3354,Cititel Penang
208,La Asuncion,VE,76.37,overcast clouds,11.0333,-63.8628,Colinas de Matasiete
209,Biak,ID,81.01,overcast clouds,-0.9131,122.8766,Penginapan Kim
212,Oranjestad,AW,80.55,scattered clouds,12.524,-70.027,Divi Village Golf & Beach Resort
217,Abu Kamal,SY,77.32,clear sky,34.4506,40.9171,البوكمال
219,Marrakesh,MA,80.67,scattered clouds,31.6315,-8.0083,Les Jardins de La Koutoubia
221,Tanout,NE,84.6,broken clouds,14.9709,8.8879, 
225,Poum,NC,77.58,broken clouds,-20.2333,164.0167, 
227,Faanui,PF,79.63,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
228,Taoudenni,ML,93.04,clear sky,22.6783,-3.9836, 
230,Rudbar,AF,93.97,scattered clouds,30.15,62.6, 
237,Hovd,MN,76.71,overcast clouds,48.0056,91.6419,Hotel Khovd
238,Conner,PH,87.4,overcast clouds,17.7964,121.3275, 
246,Robertsport,LR,79.27,light rain,6.7533,-11.3686,Kwepunha Retreat
248,Naica,MX,80.31,overcast clouds,27.85,-105.4833,Departamentos Nicole
249,Russell,US,78.08,clear sky,32.3502,-85.1999,Macs
250,Isangel,VU,80.67,scattered clouds,-19.55,169.2667,Tanna Lodge
251,Kerewan,GM,78.82,clear sky,13.4898,-16.0888,ADWAC Residents
254,Kavaratti,IN,83.28,heavy intensity rain,10.5669,72.642,Hotels in Lakshadweep Islands
265,Manaure,CO,82.15,overcast clouds,11.7751,-72.4445,Hotel Palaaima
266,Muncar,ID,82.78,broken clouds,-8.4333,114.3333,Zaky Homestay
267,Rehli,IN,91.56,clear sky,23.6333,79.0833,संध्या टिफिन सेटर रहली
268,Baijiantan,CN,85.1,clear sky,45.6333,85.1833, 
269,Mogadishu,SO,78.69,broken clouds,2.0371,45.3438,Hotel Juba
272,Takoradi,GH,77.76,moderate rain,4.8845,-1.7554,Raybow International Hotel
273,Wuwei,CN,80.83,clear sky,37.9281,102.6414,Thank Inn Chain Hotel gansu wuwei liangzhou district xiguan middle road
274,Payo,ID,79.25,broken clouds,-3.7508,103.6372,Mess keban agung
276,Port Blair,IN,84.24,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
277,Tessalit,ML,93.94,overcast clouds,20.1986,1.0114, 
278,Hirara,JP,86.27,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
279,Adrar,MR,89.94,scattered clouds,20.5022,-10.0711, 
284,Fare,PF,78.84,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
285,Ambunti,PG,88.21,scattered clouds,-4.2365,142.8448,AMBUNTI HIDE INN
295,Koutsouras,GR,75.11,clear sky,35.0339,25.9469,The White Houses
