City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Type
0,Tiksi,RU,71.6872,128.8694,42.69,74,100,9.17,overcast clouds
1,Praya,CV,14.9215,-23.5087,72.14,88,75,11.5,broken clouds
2,Mezen,RU,65.8522,44.24,52.75,71,31,5.73,scattered clouds
3,Atuona,PF,-9.8,-139.0333,77.34,78,59,21.27,light rain
4,Norman Wells,CA,65.282,-126.8329,55.44,58,40,11.5,scattered clouds
5,Cidreira,BR,-30.1811,-50.2056,60.94,89,2,12.5,clear sky
6,Pacifica,US,37.6138,-122.4869,81.82,70,0,24.16,haze
7,Kalmunai,LK,7.4167,81.8167,81.55,77,100,2.68,overcast clouds
8,Hambantota,LK,6.1241,81.1185,82.18,75,100,17.78,overcast clouds
9,Hilo,US,19.7297,-155.09,83.28,69,40,8.05,scattered clouds
10,Isaka,TZ,-3.9,32.9333,65.57,52,67,4.65,broken clouds
11,Barrow,US,71.2906,-156.7887,37.42,81,0,9.22,clear sky
12,Rikitea,PF,-23.1203,-134.9692,73.09,70,56,7.76,broken clouds
13,Atar,MR,20.5169,-13.0499,91.85,32,9,4.41,clear sky
14,Dingle,PH,10.9995,122.6711,87.19,65,30,1.32,scattered clouds
15,New Norfolk,AU,-42.7826,147.0587,48.92,87,100,1.36,moderate rain
16,Albany,US,42.6001,-73.9662,66.61,75,32,4.47,scattered clouds
17,Pevek,RU,69.7008,170.3133,37.15,75,53,5.68,broken clouds
18,Hamilton,US,39.1834,-84.5333,84.99,77,0,6.91,clear sky
19,Cape Town,ZA,-33.9258,18.4232,48.9,94,75,8.05,light rain
20,Chuy,UY,-33.6971,-53.4616,51.96,92,7,6.42,clear sky
21,Georgetown,MY,5.4112,100.3354,84.13,83,20,2.3,few clouds
22,Ugoofaaru,MV,5.6667,73.0,82.69,75,30,11.18,scattered clouds
23,Jamestown,US,42.097,-79.2353,65.52,77,0,1.01,clear sky
24,Port Alfred,ZA,-33.5906,26.891,54.18,66,41,5.01,scattered clouds
25,Hermanus,ZA,-34.4187,19.2345,46.8,71,43,11.16,light rain
26,Ushuaia,AR,-54.8,-68.3,38.86,65,40,12.66,scattered clouds
27,East London,ZA,-33.0153,27.9116,60.26,51,2,21.68,clear sky
28,Arraial Do Cabo,BR,-22.9661,-42.0278,67.82,64,100,6.85,overcast clouds
29,Kresttsy,RU,58.2452,32.5165,49.82,98,100,9.86,light rain
30,Rincon,US,32.296,-81.2354,80.85,93,75,4.61,broken clouds
31,Omsukchan,RU,62.5333,155.8,58.12,39,100,6.46,overcast clouds
32,Zhigansk,RU,66.7697,123.3711,63.34,58,99,6.91,overcast clouds
33,Provideniya,RU,64.3833,-173.3,39.36,81,75,11.18,broken clouds
34,Airai,TL,-8.9266,125.4092,68.97,69,91,4.0,overcast clouds
35,Punta Arenas,CL,-53.15,-70.9167,35.71,87,0,9.22,clear sky
36,Monrovia,LR,6.3005,-10.7969,78.49,76,100,9.4,overcast clouds
37,Nishihara,JP,26.1842,127.7558,78.85,94,75,13.8,mist
38,Abu Dhabi,AE,24.4667,54.3667,91.51,60,0,3.44,clear sky
39,Busselton,AU,-33.65,115.3333,64.65,59,93,16.96,overcast clouds
40,Rio Gallegos,AR,-51.6226,-69.2181,32.05,80,0,9.22,clear sky
41,Deputatskiy,RU,69.3,139.9,65.89,23,38,11.99,scattered clouds
42,Bredasdorp,ZA,-34.5322,20.0403,46.67,90,34,7.18,light rain
43,Qui Nhon,VN,13.7667,109.2333,86.7,65,100,5.91,overcast clouds
44,Baghdad,IQ,33.3406,44.4009,78.71,38,0,5.75,clear sky
45,Souillac,MU,-20.5167,57.5167,70.18,83,40,10.36,scattered clouds
46,Butaritari,KI,3.0707,172.7902,82.47,68,100,12.33,overcast clouds
47,Chokurdakh,RU,70.6333,147.9167,74.1,21,37,7.47,scattered clouds
48,Nikolskoye,RU,59.7035,30.7861,53.8,99,61,3.67,broken clouds
49,Puerto Ayora,EC,-0.7393,-90.3518,71.55,90,82,4.0,broken clouds
50,Verkhnetulomskiy,RU,68.6073,31.7962,44.73,93,85,8.55,overcast clouds
51,Garissa,KE,-0.4536,39.6401,72.72,87,13,12.84,few clouds
52,Linqiong,CN,30.4159,103.4609,84.02,62,100,2.53,light rain
53,Sitka,US,57.0531,-135.33,53.49,71,100,5.75,overcast clouds
54,Waingapu,ID,-9.6567,120.2641,84.38,69,99,14.74,overcast clouds
55,Ippy,CF,6.2679,21.2247,69.53,95,100,2.01,overcast clouds
56,Cabo San Lucas,MX,22.8909,-109.9124,94.3,50,0,19.57,clear sky
57,Caravelas,BR,-17.7125,-39.2481,71.13,62,27,8.7,scattered clouds
58,Mount Gambier,AU,-37.8333,140.7667,57.11,88,100,14.97,overcast clouds
59,Klaksvik,FO,62.2266,-6.589,50.92,99,100,11.01,overcast clouds
60,Yulara,AU,-25.2406,130.9889,68.05,39,0,6.17,clear sky
61,Kahului,US,20.8947,-156.47,84.22,64,20,24.16,few clouds
62,Libertador General San Martin,AR,-23.8064,-64.7876,52.97,57,0,3.29,clear sky
63,Hithadhoo,MV,-0.6,73.0833,82.67,70,98,6.22,overcast clouds
64,Tasiilaq,GL,65.6145,-37.6368,39.36,97,100,17.27,light rain
65,Olafsvik,IS,64.8945,-23.7142,48.61,75,99,15.05,overcast clouds
66,Bluff,NZ,-46.6,168.3333,46.8,75,100,24.36,light rain
67,Flinders,AU,-34.5833,150.8552,66.38,53,6,1.99,clear sky
68,Hasaki,JP,35.7333,140.8333,68.29,84,100,11.97,light rain
69,Cherskiy,RU,68.75,161.3,68.32,25,6,7.58,clear sky
70,Barcelos,PT,41.5388,-8.6151,66.85,82,4,2.46,clear sky
71,Shuyskoye,RU,59.3736,41.0305,58.96,98,100,6.87,light rain
72,Moose Factory,CA,51.2585,-80.6094,59.0,88,75,4.61,broken clouds
73,Lorengau,PG,-2.0226,147.2712,85.46,64,6,10.38,clear sky
74,Ofaqim,IL,31.3141,34.6203,70.29,74,0,2.24,clear sky
75,Fortuna,US,40.5982,-124.1573,60.85,74,20,13.8,few clouds
76,Esil,KZ,51.9556,66.4042,60.85,69,5,8.5,clear sky
77,Kangaatsiaq,GL,68.3065,-53.4641,32.99,80,49,12.39,scattered clouds
78,Rancho Palos Verdes,US,33.7445,-118.387,75.99,77,0,12.66,clear sky
79,Puerto Narino,CO,-3.7703,-70.3831,71.73,86,60,1.25,broken clouds
80,Kapaa,US,22.0752,-159.319,84.18,73,75,19.57,broken clouds
81,Luderitz,NA,-26.6481,15.1594,55.36,71,0,6.89,clear sky
82,Okha,RU,53.5739,142.9478,55.78,80,82,2.3,broken clouds
83,America Dourada,BR,-11.4553,-41.4361,65.8,86,64,11.21,broken clouds
84,San Cristobal,VE,7.7669,-72.225,73.58,99,100,3.44,overcast clouds
85,Vaini,TO,-21.2,-175.2,78.96,73,20,6.91,few clouds
86,Lebu,CL,-37.6167,-73.65,51.49,93,100,8.86,overcast clouds
87,Qaanaaq,GL,77.484,-69.3632,27.18,81,99,3.8,overcast clouds
88,Izberbash,RU,42.5696,47.8645,71.65,68,100,9.78,overcast clouds
89,Nianzishan,CN,47.5167,122.8833,73.4,58,23,7.14,few clouds
90,Tigil,RU,57.8,158.6667,60.06,48,100,2.42,overcast clouds
91,Acarau,BR,-2.8856,-40.12,74.44,77,8,10.13,clear sky
92,Longyearbyen,SJ,78.2186,15.6401,40.84,70,75,12.66,broken clouds
93,Inverell,AU,-29.7833,151.1167,65.66,81,48,4.0,scattered clouds
94,Derzhavinsk,KZ,51.1,66.3167,63.91,58,5,10.92,clear sky
95,San Felipe,VE,10.3399,-68.7425,71.1,91,100,4.47,overcast clouds
96,Alpena,US,45.0617,-83.4327,66.45,75,40,6.91,scattered clouds
97,Kaitangata,NZ,-46.2817,169.8464,43.36,85,97,15.5,overcast clouds
98,Khatanga,RU,71.9667,102.5,55.49,46,8,10.31,clear sky
99,Cayenne,GF,4.9333,-52.3333,82.09,1,20,2.3,few clouds
